01/11/2014 06:12:57 PM INFO: TubeChallenge - START
01/11/2014 06:12:57 PM DEBUG: GetDatabaseShortestRoute: Shortest route returned from database without error
01/11/2014 06:12:57 PM DEBUG: GetDatabaseShortestRoute: Shortest route: 1120.505
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:57 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: GetAllDistancesFromDatabase: Process run without error
01/11/2014 06:12:58 PM DEBUG: CreateRandomRoute: Process run without error
01/11/2014 06:12:58 PM DEBUG: CreateRandomRoute: Random route generated: 
